type,adh_last_name,adh_first_name,adh_birth_date,adh_gender,adh_mail,adh_street_address,adh_postcode,adh_city,adh_telephone,adh_iban,adh_bic_code,adh_bank_name,adh_bank_adress,adh_bank_postcode,adh_bank_city,adh_bank_country_code
adherent,APE Camus,Denis,1990-09-05,MALE,denis.apecamus@fakemail.com,36 avenue Millet,28993,Saint Isaacdan,06.06.26.31.57,FR7610107000007947455919014,CCBPFRPP,Banque Populaire,9 chemin de Moulin,45379,Fontaine,FR
adherent,APE Courtois,Manon,1960-01-06,FEMALE,manon.apecourtois@fakemail.com,35 chemin de Robert,71841,Sainte Noemi,06.34.81.76.83,FR7630006000004986747442817,AGRIFRPP,Crédit Agricole,6 rue de Dumont,76931,Ferreira,FR
adherent,APE Raymond,Tristan,1991-07-13,MALE,tristan.aperaymond@fakemail.com,76 boulevard David,20337,Gomez,06.78.00.89.74,FR7612548000004406249289565,AXABFRPP,AXA Banque,46 rue de Moreno,50927,Dufour-la-Foret,FR
adherent,APE Leclerc,Cecile,1999-02-25,FEMALE,cecile.apeleclerc@fakemail.com,31 avenue Vincent Benard,67435,Rodriguez,06.21.47.18.01,FR7611808000003933745288760,CMBRFR2B,Crédit Mutuel,66 boulevard de Bonnet,72816,Leclercq,FR
adherent,APE Vasseur,Lucas,1968-11-18,MALE,lucas.apevasseur@fakemail.com,39 rue Caroline Roux,17573,Sainte Auroreboeuf,06.16.24.59.96,FR7611808000004439854080627,CMBRFR2B,Crédit Mutuel,93 boulevard Hubert,36936,Boulanger-sur-Lucas,FR
adherent,APE Blot,Margot,1998-04-04,FEMALE,margot.apeblot@fakemail.com,76 avenue Thibault Chauvet,11995,Michel-sur-Guillou,06.65.88.77.63,FR7630056000009317576260325,CCFRFRCR,HSBC,27 rue de Petit,78881,Sainte Auguste-la-Foret,FR
adherent,APE Blanc,Pauline,1964-07-16,FEMALE,pauline.apeblanc@fakemail.com,49 rue Manon Gauthier,37296,Marques,06.76.79.54.15,FR7630006000008165410000353,AGRIFRPP,Crédit Agricole,2 chemin Mendes,97189,Dubois,FR
adherent,APE Gauthier,Frederic,1984-08-29,MALE,frederic.apegauthier@fakemail.com,9 boulevard Da Costa,06641,Sainte Amelieboeuf,06.66.33.00.59,FR7630001000005277461705027,AGRIFRPP,Banque de France,8 boulevard Eleonore Valentin,71254,Antoine,FR
adherent,APE Berthelot,Marguerite,1993-10-15,FEMALE,marguerite.apeberthelot@fakemail.com,51 boulevard de Guerin,30719,ClementBourg,06.40.76.21.38,FR7611808000009180977836642,CMBRFR2B,Crédit Mutuel,88 avenue de Daniel,24879,Durand,FR
adherent,APE Laurent,Jerome,1978-10-06,MALE,jerome.apelaurent@fakemail.com,7 rue Benoit,66139,Saint Marthe,06.23.64.55.48,FR7612548000002542858020278,AXABFRPP,AXA Banque,85 boulevard Perrin,55351,Roux,FR
adherent,APE Hamon,Laurence,2000-02-18,FEMALE,laurence.apehamon@fakemail.com,835 avenue de Humbert,93362,Lucasnec,06.16.91.38.02,FR7611315000002996519204242,CEPAFRPP,Caisse d'Epargne,42 boulevard de Mary,29286,Saint Leon,FR
adherent,APE Jacob,Vincent,1987-01-05,MALE,vincent.apejacob@fakemail.com,44 avenue Grondin,02597,ClementBourg,06.27.09.53.43,FR7630056000006462705303666,CCFRFRCR,HSBC,22 boulevard de Lejeune,20428,Traoreboeuf,FR
adherent,APE Gosselin,Julie,1988-07-26,FEMALE,julie.apegosselin@fakemail.com,20 rue Dominique Neveu,81107,AubryBourg,06.88.19.88.17,FR7630056000008527358037088,CCFRFRCR,HSBC,3 avenue Deschamps,07428,Reynaudnec,FR
adherent,APE Grenier,Virginie,1963-01-29,FEMALE,virginie.apegrenier@fakemail.com,22 boulevard de Hardy,43368,Andre-sur-Mer,06.14.00.96.26,FR7610107000004882053411047,CCBPFRPP,Banque Populaire,8 chemin de Jacob,97661,Jacob-sur-Mer,FR
adherent,CBO Leleu,Alexandria,1967-01-29,FEMALE,alexandria.cboleleu@fakemail.com,26 chemin de Antoine,79319,Sainte Thomas,06.26.24.15.76,FR7630006000004793876232787,AGRIFRPP,Crédit Agricole,694 boulevard Tristan Francois,36398,Monnier-sur-Dubois,FR
adherent,CBO Delannoy,Matthieu,1986-05-08,MALE,matthieu.cbodelannoy@fakemail.com,922 chemin de Perrin,39876,Saint Alfred,06.72.51.00.27,FR7611808000004712998303264,CMBRFR2B,Crédit Mutuel,56 rue Isabelle Levy,61981,Leroy,FR
adherent,CBO Vaillant,Frederic,1983-01-02,MALE,frederic.cbovaillant@fakemail.com,13 avenue Josette Carlier,71910,Sainte Virginieboeuf,06.98.78.39.16,FR7610011000001634581074029,PSSTFRPP,La Banque Postale,60 rue Boucher,36467,Begue,FR
adherent,CBO Peltier,Margaud,1988-07-17,FEMALE,margaud.cbopeltier@fakemail.com,86 rue Neveu,61701,Perret-sur-Laurent,06.04.52.46.60,FR7630001000007197360951031,AGRIFRPP,Banque de France,26 rue Lelievre,35245,Sainte Michele,FR
adherent,CBO Renard,Alix,1988-03-12,FEMALE,alix.cborenard@fakemail.com,2 rue Collin,42551,Delahaye,06.44.73.25.21,FR7630002000001063078349887,CRLYFRPP,Crédit Lyonnais (LCL),65 rue Honore Lenoir,26416,Picard,FR
adherent,CBO Fouquet,Andre,1963-07-27,MALE,andre.cbofouquet@fakemail.com,43 rue Couturier,78186,Antoinenec,06.70.31.16.92,FR7611808000009225755298779,CMBRFR2B,Crédit Mutuel,71 avenue de Le Goff,77244,Launay-sur-Bailly,FR
adherent,CBO Pelletier,Sebastien,1980-04-09,MALE,sebastien.cbopelletier@fakemail.com,26 boulevard Teixeira,30281,Bouvier,06.70.96.82.79,FR7630002000005898119719054,CRLYFRPP,Crédit Lyonnais (LCL),28 avenue de Salmon,97395,Leclercq,FR
adherent,CBO Bonnin,Penelope,1975-01-28,FEMALE,penelope.cbobonnin@fakemail.com,8 rue Emmanuel Clerc,88211,Sainte Julien,06.00.51.60.87,FR7610107000003787788015503,CCBPFRPP,Banque Populaire,57 rue de Jacquot,63215,Saint Juliette-sur-Mer,FR
adherent,CBO Brun,Caroline,1992-11-19,FEMALE,caroline.cbobrun@fakemail.com,44 boulevard de Collet,61966,Fournier-sur-Mer,06.48.70.28.87,FR7612548000009620859190588,AXABFRPP,AXA Banque,4 rue Rodriguez,88372,Couturierdan,FR
adherent,CBO Lecoq,Frederic,2000-01-23,MALE,frederic.cbolecoq@fakemail.com,676 boulevard Simone Diaz,23476,Saint Penelopenec,06.76.28.45.27,FR7630001000006016678557351,AGRIFRPP,Banque de France,11 rue de Gosselin,85340,GrosBourg,FR
adherent,CBO Ferreira,Claire,1973-01-12,FEMALE,claire.cboferreira@fakemail.com,97 rue de Delahaye,41430,MeyerBourg,06.13.46.25.01,FR7630006000002996585999463,AGRIFRPP,Crédit Agricole,7 boulevard de Carlier,97658,Marques-sur-Mer,FR
adherent,CBO Clement,Aime,1996-03-06,MALE,aime.cboclement@fakemail.com,33 chemin de Gauthier,61830,Saint Oceane-les-Bains,06.59.61.57.21,FR7611315000002034055000770,CEPAFRPP,Caisse d'Epargne,3 rue Noemi Chauvet,37201,Dupuis,FR
adherent,CBO Descamps,Margaret,1977-12-27,FEMALE,margaret.cbodescamps@fakemail.com,29 rue Josette Richard,93764,Perez-les-Bains,06.66.83.27.94,FR7630006000009833982665785,AGRIFRPP,Crédit Agricole,71 boulevard Olivier,90113,Lambert,FR
adherent,CBO Bonneau,Roland,2003-12-02,MALE,roland.cbobonneau@fakemail.com,455 chemin Poulain,06270,Delannoy,06.00.56.60.37,FR7610011000007806584719155,PSSTFRPP,La Banque Postale,1 avenue Sylvie Chevalier,71278,Germain,FR
adherent,CBO Baron,Anne,1980-05-15,FEMALE,anne.cbobaron@fakemail.com,95 rue Caron,97178,GilletVille,06.89.15.64.57,FR7610107000002824612263390,CCBPFRPP,Banque Populaire,24 rue Antoinette Martineau,42556,Fournier,FR
adherent,CBO Mace,Marc,1974-02-21,MALE,marc.cbomace@fakemail.com,82 chemin Gregoire Da Silva,75617,Simondan,06.02.11.47.08,FR7610107000007187338815123,CCBPFRPP,Banque Populaire,2 avenue Emmanuel Paris,78336,Picard,FR
adherent,CBO Boutin,Juliette,1967-10-11,FEMALE,juliette.cboboutin@fakemail.com,44 avenue Francoise Morel,97186,Loiseaudan,06.75.05.31.10,FR7610107000006478895475475,CCBPFRPP,Banque Populaire,74 rue de Lejeune,95310,Michaud-sur-Mer,FR
adherent,CBO Le Goff,Thierry,1981-02-15,MALE,thierry.cbolegoff@fakemail.com,47 avenue Gomes,89577,Mace,06.38.18.20.16,FR7611808000002837638315721,CMBRFR2B,Crédit Mutuel,4 avenue Delahaye,47798,Texier,FR
adherent,CBO Evrard,Olivie,1977-05-05,FEMALE,olivie.cboevrard@fakemail.com,70 avenue Julien Louis,58840,Schneider,06.74.54.92.36,FR7611315000005458195940687,CEPAFRPP,Caisse d'Epargne,38 chemin de Sauvage,21232,Ollivier,FR
adherent,CBO Pires,Jeannine,1994-04-10,FEMALE,jeannine.cbopires@fakemail.com,14 chemin de Guyot,38762,Lopez-la-Foret,06.37.16.40.24,FR7612548000009427835534582,AXABFRPP,AXA Banque,80 boulevard de Foucher,34602,Saint BernadetteBourg,FR
adherent,CBO Perrot,Alain,2000-10-07,MALE,alain.cboperrot@fakemail.com,39 boulevard Lefebvre,46212,Hamon,06.45.03.90.60,FR7630006000005928171265127,AGRIFRPP,Crédit Agricole,38 avenue Dumont,33614,Saint Dorothee,FR
adherent,CBO Germain,Camille,1992-05-31,FEMALE,camille.cbogermain@fakemail.com,281 rue Roger,97684,Leroux,06.64.55.95.08,FR7611808000001262981516180,CMBRFR2B,Crédit Mutuel,19 rue Marion,36596,Lebrundan,FR
adherent,CBO Voisin,Gerard,2003-10-07,MALE,gerard.cbovoisin@fakemail.com,71 rue Mahe,77214,Peltier-la-Foret,06.30.62.87.32,FR7630006000002504910130148,AGRIFRPP,Crédit Agricole,2 rue Mathilde Alexandre,79850,Henry,FR
adherent,CBO Mahe,Louis,1979-04-29,MALE,louis.cbomahe@fakemail.com,8 chemin de Vaillant,22207,Voisin,06.47.83.60.82,FR7630002000008100163953010,CRLYFRPP,Crédit Lyonnais (LCL),7 chemin de Neveu,87283,Gaillard-sur-Lelievre,FR
adherent,CBO Menard,Michelle,1976-05-04,FEMALE,michelle.cbomenard@fakemail.com,51 rue de Laporte,20946,GrondinBourg,06.44.20.52.66,FR7611808000003771162210875,CMBRFR2B,Crédit Mutuel,8 chemin Marechal,70160,Maurice-la-Foret,FR
adherent,JMO Lefort,Emmanuelle,1980-07-12,FEMALE,emmanuelle.jmolefort@fakemail.com,27 avenue de Clement,10309,Berthelot,06.59.33.27.92,FR7630006000009120775520240,AGRIFRPP,Crédit Agricole,35 rue de Marie,74437,Sainte Franckdan,FR
adherent,JMO Lejeune,Frederic,1968-04-03,MALE,frederic.jmolejeune@fakemail.com,27 rue Thierry Rey,59710,Seguin,06.60.91.94.66,FR7611808000002778861058439,CMBRFR2B,Crédit Mutuel,32 boulevard Leroux,28929,Morel,FR
adherent,JMO Gilbert,Lorraine,1996-09-30,FEMALE,lorraine.jmogilbert@fakemail.com,98 chemin de Denis,38229,Sainte StephaneVille,06.90.79.98.89,FR7630001000006905648243531,AGRIFRPP,Banque de France,505 chemin Leroux,87870,Da Costa-sur-David,FR
adherent,JMO Pelletier,Laetitia,1973-07-10,FEMALE,laetitia.jmopelletier@fakemail.com,2 rue de Renault,48820,Guillouboeuf,06.55.30.29.95,FR7611315000008089378508053,CEPAFRPP,Caisse d'Epargne,98 chemin de Bailly,27631,Charrier,FR
adherent,JMO Boucher,Lucas,1988-10-14,MALE,lucas.jmoboucher@fakemail.com,61 avenue de Antoine,88561,Saint Bertrand,06.19.45.86.00,FR7611315000008669743500982,CEPAFRPP,Caisse d'Epargne,9 rue Valette,74291,BourdonVille,FR
adherent,JMO Laine,Oceane,1993-07-20,FEMALE,oceane.jmolaine@fakemail.com,60 chemin de Pierre,28770,Fernandez,06.12.76.14.07,FR7610011000004122397784470,PSSTFRPP,La Banque Postale,987 chemin Leconte,49949,Lefort,FR
adherent,JMO Lebon,Charlotte,2002-09-27,FEMALE,charlotte.jmolebon@fakemail.com,11 avenue Yves Leroy,97366,Hubert-sur-Mer,06.32.13.93.95,FR7611808000008824650378686,CMBRFR2B,Crédit Mutuel,8 rue de Mary,43231,ToussaintVille,FR
adherent,JMO Carre,Gerard,1999-01-13,MALE,gerard.jmocarre@fakemail.com,8 boulevard de Chretien,94612,Saint Anais,06.65.54.81.73,FR7630002000009583419135002,CRLYFRPP,Crédit Lyonnais (LCL),27 chemin Charpentier,04536,Francois,FR
adherent,JMO Leblanc,Gilles,1961-07-11,MALE,gilles.jmoleblanc@fakemail.com,35 chemin Vincent Rodriguez,31993,Bonnindan,06.82.83.49.45,FR7630004000007361598079827,BNPAFRPP,BNP Paribas,16 rue Prevost,97315,Sainte Anastasie,FR
adherent,JMO Nguyen,Jacqueline,1973-09-19,FEMALE,jacqueline.jmonguyen@fakemail.com,46 rue Allain,05843,Dupontdan,06.45.47.65.53,FR7612548000005851654569485,AXABFRPP,AXA Banque,40 rue Hamon,86218,Imbert,FR
adherent,JMO Dupuis,Nicolas,2003-07-09,MALE,nicolas.jmodupuis@fakemail.com,25 avenue de Tessier,14966,Germain,06.77.29.41.76,FR7630002000002103116949627,CRLYFRPP,Crédit Lyonnais (LCL),347 boulevard de Maurice,58117,Berthelot-sur-Mer,FR
adherent,JMO Legros,Pauline,1977-12-11,FEMALE,pauline.jmolegros@fakemail.com,341 rue Margaret Leveque,49650,Martinez-sur-Laroche,06.84.19.23.33,FR7630002000007296862362013,CRLYFRPP,Crédit Lyonnais (LCL),7 rue de Mallet,04695,BourdonVille,FR
adherent,JMO Allard,Ines,1992-07-13,FEMALE,ines.jmoallard@fakemail.com,5 rue Techer,31215,Saint Margaux,06.78.67.37.78,FR7630006000001585909139111,AGRIFRPP,Crédit Agricole,19 chemin David,86748,Besnarddan,FR
adherent,JMO Gros,Alexandre,1985-06-29,MALE,alexandre.jmogros@fakemail.com,3 rue Leleu,12181,Lamydan,06.98.94.58.73,FR7612548000003969288840362,AXABFRPP,AXA Banque,323 rue de Meyer,08913,Sainte Luce,FR
adherent,JMO Richard,Jean,1965-05-27,MALE,jean.jmorichard@fakemail.com,234 avenue Antoine,70765,Roy-sur-Prevost,06.12.01.27.50,FR7610011000008865660053313,PSSTFRPP,La Banque Postale,8 avenue de Blondel,65924,Saint Marianne,FR
adherent,JMO Meyer,Virginie,1995-04-16,FEMALE,virginie.jmomeyer@fakemail.com,82 rue Thomas,14743,Saint Emilie-sur-Mer,06.05.28.77.73,FR7630006000005066550329016,AGRIFRPP,Crédit Agricole,231 chemin Marine Dupont,75129,Marion,FR
adherent,JMO Rolland,Thibaut,2002-01-12,MALE,thibaut.jmorolland@fakemail.com,1 rue Guyon,62608,Saint Eric-la-Foret,06.56.81.84.20,FR7611808000004506763732064,CMBRFR2B,Crédit Mutuel,47 avenue Marques,69657,Bouvier,FR
adherent,JMO Vaillant,Emile,1986-03-29,MALE,emile.jmovaillant@fakemail.com,21 avenue Benjamin Masse,82503,Saint Augustin,06.33.57.70.49,FR7610107000007972462309785,CCBPFRPP,Banque Populaire,902 avenue Costa,28852,Saint ThomasVille,FR
adherent,JMO Vallet,Frederic,1976-09-03,MALE,frederic.jmovallet@fakemail.com,86 chemin de Levy,73675,Saint JulietteVille,06.51.43.42.05,FR7611808000003538679807790,CMBRFR2B,Crédit Mutuel,49 boulevard Aime Alexandre,67795,Deschamps,FR
adherent,JMO Baron,Genevieve,1999-09-11,FEMALE,genevieve.jmobaron@fakemail.com,3 avenue de Maillot,39744,Bertrand,06.08.76.42.88,FR7611808000005706789531579,CMBRFR2B,Crédit Mutuel,39 boulevard William Lamy,05731,Sainte Stephanie,FR
adherent,JMO Faivre,Gregoire,1985-08-26,MALE,gregoire.jmofaivre@fakemail.com,90 rue de Albert,47370,Saint Dorotheedan,06.73.93.19.20,FR7611808000004942938433640,CMBRFR2B,Crédit Mutuel,49 boulevard Mallet,33967,Saint Claire,FR
adherent,JMO Techer,Helene,1963-06-12,FEMALE,helene.jmotecher@fakemail.com,44 chemin Gregoire,82510,Hamel,06.19.16.28.15,FR7630002000005997338130782,CRLYFRPP,Crédit Lyonnais (LCL),56 rue Pelletier,19671,Jolydan,FR
adherent,JMO Moulin,Eric,1970-10-18,MALE,eric.jmomoulin@fakemail.com,89 boulevard de Dias,68376,Thomas,06.24.83.72.98,FR7611808000009297146016536,CMBRFR2B,Crédit Mutuel,9 rue Muller,36202,Peron,FR
adherent,JMO Klein,Raymond,1998-02-01,MALE,raymond.jmoklein@fakemail.com,8 rue Lopez,77147,Allain,06.32.48.65.07,FR7630056000008873552099626,CCFRFRCR,HSBC,23 rue Olivier Allain,69536,Bruneau,FR
adherent,JMO Laroche,Jeanne,1993-10-05,FEMALE,jeanne.jmolaroche@fakemail.com,84 boulevard Auguste Lelievre,11437,Hamel,06.43.34.09.81,FR7611315000007335132885942,CEPAFRPP,Caisse d'Epargne,59 rue Roche,85947,LemonnierVille,FR
adherent,AGA Boyer,Nath,1968-06-11,FEMALE,nath.agaboyer@fakemail.com,51 rue de Maury,35686,Le Roux,06.08.53.92.92,FR7610011000004099357304145,PSSTFRPP,La Banque Postale,23 rue Michaud,55141,MoreauVille,FR
adherent,AGA Gautier,Jeannine,1989-02-12,FEMALE,jeannine.agagautier@fakemail.com,24 rue de Rousseau,84452,Garcia-sur-Wagner,06.88.64.54.42,FR7611808000008471203375112,CMBRFR2B,Crédit Mutuel,46 chemin de Sanchez,63211,Da Silvaboeuf,FR
adherent,AGA Bonnin,Denis,1978-01-26,MALE,denis.agabonnin@fakemail.com,34 boulevard Courtois,77192,Martins-sur-Bousquet,06.57.33.43.61,FR7630004000001475066976225,BNPAFRPP,BNP Paribas,3 avenue de Blanchard,97443,Laurent-sur-Verdier,FR
adherent,AGA Julien,Caroline,1985-10-18,FEMALE,caroline.agajulien@fakemail.com,9 rue Alain Gosselin,75257,Saint Charlotte,06.01.07.90.51,FR7630004000004973418712765,BNPAFRPP,BNP Paribas,262 boulevard Lucy Da Costa,82382,Duhamel,FR
adherent,AGA Laurent,Augustin,1982-09-06,MALE,augustin.agalaurent@fakemail.com,51 boulevard Bertin,64786,Saint Michele,06.15.09.67.67,FR7630006000001316955637738,AGRIFRPP,Crédit Agricole,34 chemin Pichon,44344,Leleu,FR
adherent,AGA Nguyen,Yves,1964-02-22,MALE,yves.aganguyen@fakemail.com,80 chemin de Da Costa,88992,GuilletVille,06.49.92.61.10,FR7610011000002530189183935,PSSTFRPP,La Banque Postale,8 chemin de Lefevre,93903,Delattre,FR
adherent,AGA Vaillant,Leon,1974-01-15,MALE,leon.agavaillant@fakemail.com,365 avenue Adelaide Guillot,52782,Vallee,06.11.47.52.41,FR7612548000004986033539905,AXABFRPP,AXA Banque,26 avenue Matthieu Leclerc,91799,Weber,FR
adherent,AGA Chauveau,Margot,1999-07-28,FEMALE,margot.agachauveau@fakemail.com,810 boulevard Pons,04555,LouisVille,06.66.59.16.27,FR7611315000003961348417191,CEPAFRPP,Caisse d'Epargne,107 chemin de Leroy,27338,Saint Nathalie,FR
adherent,AGA Vidal,Henri,1971-07-15,MALE,henri.agavidal@fakemail.com,61 avenue Vasseur,44339,Germaindan,06.72.76.01.36,FR7611808000008084533006395,CMBRFR2B,Crédit Mutuel,52 boulevard Ines Leclercq,91843,Fernandez-sur-Leduc,FR
adherent,AGA Bousquet,Agathe,1979-12-10,FEMALE,agathe.agabousquet@fakemail.com,22 avenue de Morvan,39385,Lagarde,06.92.51.02.99,FR7630001000008942276340778,AGRIFRPP,Banque de France,4 boulevard de Picard,80683,Allainboeuf,FR
adherent,AGA Vallee,Daniel,1975-11-14,MALE,daniel.agavallee@fakemail.com,40 boulevard Francois,58844,Hardy-sur-Collin,06.07.37.56.08,FR7630002000006726184480888,CRLYFRPP,Crédit Lyonnais (LCL),432 avenue Faivre,67500,Daniel-la-Foret,FR
adherent,AGA Lemonnier,Colette,1982-03-12,FEMALE,colette.agalemonnier@fakemail.com,46 rue Victoire Hoarau,53249,Lainenec,06.28.60.81.79,FR7610107000006508243261975,CCBPFRPP,Banque Populaire,78 boulevard Faivre,60261,BenoitBourg,FR
adherent,AGA Ruiz,Nicolas,1988-01-27,MALE,nicolas.agaruiz@fakemail.com,12 chemin Matthieu Gaudin,84501,Roy,06.79.21.41.47,FR7611315000002782986490879,CEPAFRPP,Caisse d'Epargne,94 chemin Emile Benard,56644,Mullernec,FR
adherent,AGA Girard,Guy,1981-05-13,MALE,guy.agagirard@fakemail.com,16 rue Guillaume Bousquet,13182,Saint Bernadette-les-Bains,06.90.67.12.40,FR7610107000008104093246293,CCBPFRPP,Banque Populaire,29 chemin de Da Silva,50617,Thierry-la-Foret,FR
adherent,AGA Lefebvre,Philippine,1991-07-10,FEMALE,philippine.agalefebvre@fakemail.com,93 chemin Allard,60777,Voisin-sur-Legrand,06.28.08.25.57,FR7630004000006888111599878,BNPAFRPP,BNP Paribas,31 rue Fouquet,90821,Pons-les-Bains,FR
adherent,AGA Gilles,Aurore,2001-05-05,FEMALE,aurore.agagilles@fakemail.com,82 avenue Francois Maillard,22175,Torres,06.83.30.50.76,FR7612548000005184017827515,AXABFRPP,AXA Banque,73 avenue de Henry,81924,Teixeira-la-Foret,FR
adherent,AGA Bourgeois,Michel,1959-03-22,MALE,michel.agabourgeois@fakemail.com,24 chemin Jerome Bertrand,95792,FoucherVille,06.97.29.64.58,FR7630002000001525635603932,CRLYFRPP,Crédit Lyonnais (LCL),23 boulevard Gautier,63292,Saint Renee,FR
adherent,AGA Daniel,Claude,1967-10-22,FEMALE,claude.agadaniel@fakemail.com,7 avenue de Cousin,08238,Da Silva-les-Bains,06.34.93.56.51,FR7630006000005855500653225,AGRIFRPP,Crédit Agricole,5 boulevard Wagner,97129,Munoz-sur-Leblanc,FR
adherent,AGA Fleury,Sophie,1967-03-04,FEMALE,sophie.agafleury@fakemail.com,799 rue de Poirier,76637,Saint RolandBourg,06.14.14.49.72,FR7610107000001000350104530,CCBPFRPP,Banque Populaire,441 rue de Hoareau,10298,Chauveau,FR
adherent,AGA Gauthier,Richard,1989-05-14,MALE,richard.agagauthier@fakemail.com,17 boulevard Lambert,01339,Sainte Marguerite,06.82.29.37.54,FR7630002000007987358257261,CRLYFRPP,Crédit Lyonnais (LCL),92 avenue Laurent,66163,Saint Antoinette,FR
adherent,AGA Bodin,Vincent,1998-05-29,MALE,vincent.agabodin@fakemail.com,98 boulevard Evrard,15678,Sainte Elise,06.80.81.34.43,FR7630002000005458167303590,CRLYFRPP,Crédit Lyonnais (LCL),2 rue de Wagner,52893,Godarddan,FR
adherent,AGA Reynaud,Susanne,1969-12-07,FEMALE,susanne.agareynaud@fakemail.com,798 chemin Margaret Leconte,97315,Samson,06.02.59.76.37,FR7612548000007305058141836,AXABFRPP,AXA Banque,29 rue Olivier,97495,Bouvierdan,FR
adherent,AGA Marion,Susan,1969-11-19,FEMALE,susan.agamarion@fakemail.com,824 chemin de Maillot,24145,Gilles,06.66.88.51.75,FR7611808000008445514047790,CMBRFR2B,Crédit Mutuel,6 chemin Potier,89843,Sainte Clemence,FR
adherent,AGA Lefebvre,Emmanuel,1991-03-13,MALE,emmanuel.agalefebvre@fakemail.com,83 chemin Robert,54353,Samson,06.22.59.36.41,FR7612548000003253350920456,AXABFRPP,AXA Banque,96 rue Richard,80206,Berthelotdan,FR
adherent,AGA Besnard,Frederique,1966-06-14,FEMALE,frederique.agabesnard@fakemail.com,37 avenue Ferrand,87588,Benoit,06.12.41.08.71,FR7630002000009925504002739,CRLYFRPP,Crédit Lyonnais (LCL),57 chemin Frederic Gillet,01109,Lefortdan,FR
adherent,RSA Regnier,Philippe,1973-10-10,MALE,philippe.rsaregnier@fakemail.com,9 rue Bertin,12836,Rocher,06.80.28.78.94,FR7611808000002129752697070,CMBRFR2B,Crédit Mutuel,82 avenue Noemi Muller,72141,Grondin,FR
adherent,RSA Pons,Zoe,1971-01-06,FEMALE,zoe.rsapons@fakemail.com,60 chemin Lecoq,89205,Francois,06.09.30.41.25,FR7612548000002550825909029,AXABFRPP,AXA Banque,26 avenue de Lacombe,52983,Ferrand,FR
adherent,RSA Gillet,Oceane,1985-04-25,FEMALE,oceane.rsagillet@fakemail.com,2 boulevard Laine,57460,Jacob,06.20.65.80.07,FR7610011000006168506805180,PSSTFRPP,La Banque Postale,86 rue de Gregoire,02682,DufourVille,FR
