type,date_creation,ent_company_name,ent_siret,ent_statut,ent_naf,ent_telephone,ent_city,ent_postcode,ent_street_address,ent_mail,ent_iban,ent_bic_code,ent_bank_name,ent_bank_adress,ent_bank_postcode,ent_bank_city,ent_bank_country_code
entreprise,2022-12-11,APE Marechal Bouvier SARL,21722906100940,SARL,4399C,06.18.59.59.68,Marchand-les-Bains,35292,46 chemin Letellier,apemarechalbouviersarl@fakemail.com,FR7611315000001202096103126,CEPAFRPP,Caisse d'Epargne,872 boulevard de Peltier,72112,Saint Josephinedan,FR
entreprise,2022-12-11,APE Pierre Clerc SA,34403946600745,SA,4212Z,06.34.53.23.99,Sainte Elise-les-Bains,97316,76 chemin Clemence Martel,apepierreclercsa@fakemail.com,FR7630001000003919519937328,AGRIFRPP,Banque de France,911 rue Mahe,42366,PhilippeBourg,FR
entreprise,2022-12-11,APE Perrier SAS,34035801900552,SAS,4299Z,06.62.72.70.90,Francois,83573,27 rue Brunel,apeperriersas@fakemail.com,FR7630006000004063910332543,AGRIFRPP,Crédit Agricole,7 avenue de De Sousa,97231,Caron-sur-Voisin,FR
entreprise,2022-12-11,APE Lacombe SARL,94893508500555,SARL,4291Z,06.86.56.33.10,Marie,17429,11 avenue de Roy,apelacombesarl@fakemail.com,FR7610011000005534730372742,PSSTFRPP,La Banque Postale,33 boulevard Ruiz,66753,Saint Honoreboeuf,FR
entreprise,2022-12-11,APE Thierry SA,00692379100500,SA,4399C,06.92.14.53.22,Saint Honore,34422,7 rue Christophe Charles,apethierrysa@fakemail.com,FR7611808000007981196174002,CMBRFR2B,Crédit Mutuel,72 avenue Ines Alves,78226,Lambert,FR
entreprise,2022-12-11,APE Lebrun SAS,00177698800287,SAS,4120A,06.04.81.97.64,Raynaud,77326,922 chemin Mace,apelebrunsas@fakemail.com,FR7630001000004894315745853,AGRIFRPP,Banque de France,15 rue de Marchal,47400,LegerBourg,FR
entreprise,2022-12-11,APE Fournier SA,86562238500504,SA,4221Z,06.68.58.80.53,Dupuy,97665,357 avenue de Vallee,apefourniersa@fakemail.com,FR7630002000002362655359885,CRLYFRPP,Crédit Lyonnais (LCL),128 boulevard de Boulanger,85623,Jacques,FR
entreprise,2022-12-11,APE Leclerc Hoareau et Fils SARL,36461634200648,SARL,4399D,06.38.63.29.13,Mendes-les-Bains,12188,39 rue de Dubois,apeleclerchoareauetfilssarl@fakemail.com,FR7630004000003352743404860,BNPAFRPP,BNP Paribas,49 avenue Besnard,84468,Fouquet-sur-Bonnet,FR
entreprise,2022-12-11,APE Ledoux SARL,06166032000732,SARL,4299Z,06.38.75.85.45,Sainte Manon,06314,855 boulevard de Besnard,apeledouxsarl@fakemail.com,FR7630006000002399033393301,AGRIFRPP,Crédit Agricole,82 avenue Frederic Leger,87214,Lemaire,FR
entreprise,2022-12-11,APE Lamy SAS,27172452800788,SAS,4221Z,06.47.67.69.72,Saint William,97629,1 avenue Aimee Aubry,apelamysas@fakemail.com,FR7630004000003228989515439,BNPAFRPP,BNP Paribas,45 boulevard Marques,39361,Giraudboeuf,FR
entreprise,2022-12-11,APE Blanchet SAS,41558191700614,SAS,4222Z,06.22.19.29.90,Weiss,95713,19 boulevard Veronique Joubert,apeblanchetsas@fakemail.com,FR7611315000009323712786879,CEPAFRPP,Caisse d'Epargne,6 rue de Potier,37895,Delmas,FR
entreprise,2022-12-11,CBO Perrot SA,11970061500113,SA,4120A,06.37.57.74.85,Rousseau,97222,29 chemin de Hoareau,cboperrotsa@fakemail.com,FR7611315000008141986431184,CEPAFRPP,Caisse d'Epargne,34 avenue Olivier Regnier,05947,Neveu,FR
entreprise,2022-12-11,CBO Legendre SARL,20746594900791,SARL,4299Z,06.53.89.20.93,Imbertdan,79236,3 avenue Ramos,cbolegendresarl@fakemail.com,FR7612548000001805415741050,AXABFRPP,AXA Banque,72 chemin Emmanuel Wagner,08207,Alves-sur-Mer,FR
entreprise,2022-12-11,CBO Foucher SARL,79800113700313,SARL,4399C,06.08.27.87.33,Lelievredan,89561,36 chemin Christelle Marques,cbofouchersarl@fakemail.com,FR7610107000002914071533248,CCBPFRPP,Banque Populaire,97 avenue Adele Hamon,31802,De Oliveira-la-Foret,FR
entreprise,2022-12-11,CBO Bouvet Ribeiro SAS,77132137900105,SAS,4212Z,06.80.17.60.42,Caron,58128,4 chemin Lecomte,cbobouvetribeirosas@fakemail.com,FR7630056000003087505566503,CCFRFRCR,HSBC,48 rue Diallo,76294,Leger,FR
entreprise,2022-12-11,CBO Renault SA,12035608400596,SA,4221Z,06.25.87.82.13,Sainte Valentine,26169,74 chemin de Gilbert,cborenaultsa@fakemail.com,FR7630056000007754657719650,CCFRFRCR,HSBC,4 rue de Bruneau,97124,Piresboeuf,FR
entreprise,2022-12-11,CBO Paul SA,62765709100443,SA,4299Z,06.56.99.75.45,Roussel,67175,921 rue de Arnaud,cbopaulsa@fakemail.com,FR7610107000008370458701433,CCBPFRPP,Banque Populaire,702 boulevard Leroux,18350,Sainte Noel,FR
entreprise,2022-12-11,CBO Dupre SAS,29048927700449,SAS,4291Z,06.78.73.20.98,Sainte Adrienne,18915,99 rue de Faivre,cbodupresas@fakemail.com,FR7630004000006183924383550,BNPAFRPP,BNP Paribas,514 rue Pelletier,93326,Salmon,FR
entreprise,2022-12-11,CBO Renault SARL,29187985600750,SARL,4120B,06.92.19.72.32,Marty-sur-Samson,97351,940 boulevard de Pons,cborenaultsarl@fakemail.com,FR7611808000009672986546519,CMBRFR2B,Crédit Mutuel,66 chemin Simone Toussaint,84128,Sainte Marianne-sur-Mer,FR
entreprise,2022-12-11,CBO Leroy SARL,10046004700572,SARL,4120A,06.02.75.47.28,Baudry,55287,77 rue Valerie Masson,cboleroysarl@fakemail.com,FR7610107000001073296414876,CCBPFRPP,Banque Populaire,99 avenue Neveu,02680,Couturier,FR
entreprise,2022-12-11,CBO Besnard SARL,76546769100091,SARL,4299Z,06.98.63.98.80,Collet,89282,811 rue de Alexandre,cbobesnardsarl@fakemail.com,FR7610107000003922860353610,CCBPFRPP,Banque Populaire,8 rue de Gonzalez,97171,Navarro,FR
entreprise,2022-12-11,CBO Parent SARL,20115282400870,SARL,4213B,06.56.45.45.04,Bruneau-sur-Mer,77551,507 chemin de Robin,cboparentsarl@fakemail.com,FR7610107000004187426287739,CCBPFRPP,Banque Populaire,4 rue Dijoux,42348,Sainte Constance-les-Bains,FR
entreprise,2022-12-11,CBO Barbier SARL,82586175000594,SARL,4299Z,06.07.09.85.85,Fernandes,90388,7 boulevard Delahaye,cbobarbiersarl@fakemail.com,FR7610107000001304268135596,CCBPFRPP,Banque Populaire,80 avenue Claudine Brun,12483,Le Goff,FR
entreprise,2022-12-11,CBO Boyer Becker SARL,21678119500898,SARL,4211Z,06.45.29.85.63,Ferreira,80482,37 rue Barbier,cboboyerbeckersarl@fakemail.com,FR7630006000009433486593643,AGRIFRPP,Crédit Agricole,2 rue Marie,09642,Benoit,FR
entreprise,2022-12-11,CBO Weber SA,21889860900407,SA,4399D,06.08.19.29.79,Schmittnec,75696,38 rue Thomas Moulin,cbowebersa@fakemail.com,FR7630002000006293521706119,CRLYFRPP,Crédit Lyonnais (LCL),24 chemin Nicolas,82462,Petit-les-Bains,FR
entreprise,2022-12-11,CBO Costa et Fils SAS,70476644300599,SAS,4213A,06.06.82.69.98,Dos Santos,31945,307 chemin Philippe,cbocostaetfilssas@fakemail.com,FR7611808000009722182631226,CMBRFR2B,Crédit Mutuel,13 avenue Agathe Merle,33858,Turpin,FR
entreprise,2022-12-11,CBO Gonzalez SAS,52781523700369,SAS,4212Z,06.51.75.45.70,Diaz,59499,36 rue Albert,cbogonzalezsas@fakemail.com,FR7630006000007145654757497,AGRIFRPP,Crédit Agricole,39 chemin Alexandria Langlois,95698,Saint Remy,FR
entreprise,2022-12-11,CBO Delahaye SA,66148957500760,SA,4213B,06.98.71.24.37,Kleindan,60321,5 rue Marguerite Robert,cbodelahayesa@fakemail.com,FR7630002000008830021160001,CRLYFRPP,Crédit Lyonnais (LCL),71 boulevard Humbert,55588,DumontBourg,FR
entreprise,2022-12-11,CBO Lamy SAS,85107571300996,SAS,4213B,06.31.70.92.45,Saint Arthurdan,03877,3 rue Marianne Petitjean,cbolamysas@fakemail.com,FR7611315000004020971338224,CEPAFRPP,Caisse d'Epargne,82 chemin Moreno,36702,Pages,FR
entreprise,2022-12-11,CBO Boyer SARL,09071235700798,SARL,4399D,06.26.36.79.86,Maillet-sur-Raynaud,16775,98 rue Evrard,cboboyersarl@fakemail.com,FR7630001000005607567945182,AGRIFRPP,Banque de France,6 rue Brunel,53174,HuetBourg,FR
entreprise,2022-12-11,CBO Verdier SARL,45001097000009,SARL,4222Z,06.27.34.70.68,Sainte Valentine,69637,636 boulevard de Clement,cboverdiersarl@fakemail.com,FR7630006000004959510772174,AGRIFRPP,Crédit Agricole,82 boulevard de Delaunay,20464,Vaillantnec,FR
entreprise,2022-12-11,CBO Chauveau SA,69054670000178,SA,4221Z,06.96.26.97.13,Guillaume-sur-Mer,17366,40 rue Traore,cbochauveausa@fakemail.com,FR7630001000009305895933590,AGRIFRPP,Banque de France,1 boulevard Muller,44437,Diaz,FR
entreprise,2022-12-11,CBO Guillon SAS,42899595500559,SAS,4291Z,06.08.56.44.91,LarocheBourg,26221,50 chemin de De Sousa,cboguillonsas@fakemail.com,FR7610107000002875493686722,CCBPFRPP,Banque Populaire,70 rue Michaud,64680,Chevallier,FR
entreprise,2022-12-11,CBO Costa Reynaud SA,93487579000040,SA,4120A,06.66.28.58.72,Colin,97471,109 rue Isaac Benard,cbocostareynaudsa@fakemail.com,FR7612548000001556510909232,AXABFRPP,AXA Banque,51 avenue Blanc,06455,Giraud-la-Foret,FR
entreprise,2022-12-11,CBO Daniel Collin SARL,27123554100932,SARL,4213A,06.94.64.87.66,Foucher-sur-Andre,42493,2 rue Adele Dupre,cbodanielcollinsarl@fakemail.com,FR7630056000008489506427040,CCFRFRCR,HSBC,10 rue Bourdon,54749,Coulon,FR
entreprise,2022-12-11,CBO Fleury Carre SA,57611096900119,SA,4399C,06.77.83.91.06,Charpentierboeuf,09163,87 rue Becker,cbofleurycarresa@fakemail.com,FR7630002000005920766679012,CRLYFRPP,Crédit Lyonnais (LCL),38 rue de Chauvet,48777,Saint Charles-les-Bains,FR
entreprise,2022-12-11,JMO Muller SA,02622627400475,SA,4211Z,06.77.66.48.84,Saint Claude,35844,254 avenue Charrier,jmomullersa@fakemail.com,FR7630056000007732681715094,CCFRFRCR,HSBC,3 chemin Rolland,82655,Sainte Arthur,FR
entreprise,2022-12-11,JMO Bonnin Gilles SARL,07713680200384,SARL,4120B,06.53.43.99.89,Perrier,90987,97 rue de Francois,jmobonningillessarl@fakemail.com,FR7630001000002072320299630,AGRIFRPP,Banque de France,24 avenue Legros,27928,Lamy-sur-Mer,FR
entreprise,2022-12-11,JMO Pons Chartier SARL,79230517900923,SARL,4399D,06.82.23.40.29,BoutinBourg,97447,4 avenue de Jean,jmoponschartiersarl@fakemail.com,FR7630006000001164949042832,AGRIFRPP,Crédit Agricole,33 chemin Durand,82685,Saint Etienne-la-Foret,FR
entreprise,2022-12-11,JMO Meyer SA,07702249900378,SA,4222Z,06.23.76.46.51,Sainte Alphonse,15903,46 rue Gilles,jmomeyersa@fakemail.com,FR7630002000001081198574567,CRLYFRPP,Crédit Lyonnais (LCL),78 chemin de Navarro,85799,Maillet,FR
entreprise,2022-12-11,JMO Duhamel SARL,00263923500536,SARL,4213A,06.20.64.86.59,LecomteVille,19422,6 boulevard Lucie Ledoux,jmoduhamelsarl@fakemail.com,FR7630056000006743822884108,CCFRFRCR,HSBC,3 rue Alex Pons,31179,Saint Nicolas,FR
entreprise,2022-12-11,JMO Legendre SA,10207005900880,SA,4213B,06.00.01.54.98,Marchandnec,75404,948 rue Paul Moulin,jmolegendresa@fakemail.com,FR7612548000004365985818458,AXABFRPP,AXA Banque,18 rue Bertrand,12419,Raynaudnec,FR
entreprise,2022-12-11,JMO Joseph Berger SA,36983136700320,SA,4222Z,06.80.13.58.37,Joseph,09100,23 chemin Dumont,jmojosephbergersa@fakemail.com,FR7610011000007210306155419,PSSTFRPP,La Banque Postale,943 rue de Maillard,44237,Guichard,FR
entreprise,2022-12-11,JMO Robert SARL,04664507300811,SARL,4213A,06.60.58.05.89,Sainte Caroline,40159,937 boulevard Adele Poulain,jmorobertsarl@fakemail.com,FR7610107000007887233280640,CCBPFRPP,Banque Populaire,35 boulevard de Foucher,27431,Gay-sur-Mer,FR
entreprise,2022-12-11,JMO Pichon SAS,88311123900736,SAS,4213B,06.06.02.67.57,LeducBourg,97232,128 boulevard Gauthier,jmopichonsas@fakemail.com,FR7630001000007920109545517,AGRIFRPP,Banque de France,35 avenue Ferreira,77470,Sainte Sophie-la-Foret,FR
entreprise,2022-12-11,JMO Adam SA,81781174800802,SA,4221Z,06.01.75.28.62,Sainte Josetteboeuf,27541,17 boulevard de Barbier,jmoadamsa@fakemail.com,FR7630002000005115582404442,CRLYFRPP,Crédit Lyonnais (LCL),26 rue de Simon,87713,Martinez,FR
entreprise,2022-12-11,JMO Nicolas SA,40257488300722,SA,4399C,06.32.19.49.49,RemyBourg,10335,60 chemin Valentine Pascal,jmonicolassa@fakemail.com,FR7630002000005484636566105,CRLYFRPP,Crédit Lyonnais (LCL),8 rue de Roche,30417,Clerc,FR
entreprise,2022-12-11,JMO Robin Sauvage SAS,15413377100134,SAS,4221Z,06.62.68.42.17,Marin,35647,19 rue Lecoq,jmorobinsauvagesas@fakemail.com,FR7630006000006215504165092,AGRIFRPP,Crédit Agricole,88 boulevard de Besnard,05254,Gosselin,FR
entreprise,2022-12-11,JMO Chevalier SAS,49269647100688,SAS,4299Z,06.13.88.79.81,Navarro,04934,58 chemin de Perrin,jmochevaliersas@fakemail.com,FR7630001000003914752031241,AGRIFRPP,Banque de France,35 rue Begue,74440,Martins-sur-Allain,FR
entreprise,2022-12-11,JMO Perez SARL,71503652100758,SARL,4291Z,06.87.10.68.96,Guibert,97298,3 rue Martin,jmoperezsarl@fakemail.com,FR7630001000003660457882915,AGRIFRPP,Banque de France,2 rue Philippe Legros,83631,Saint Christianenec,FR
entreprise,2022-12-11,JMO Hebert SA,26665717000160,SA,4291Z,06.48.08.29.69,Masse,93928,510 rue Daniel,jmohebertsa@fakemail.com,FR7612548000005774853863550,AXABFRPP,AXA Banque,81 boulevard de Navarro,72690,GonzalezBourg,FR
entreprise,2022-12-11,JMO Baudry SA,05294891600219,SA,4213B,06.08.50.13.69,FerreiraVille,57874,959 avenue de Denis,jmobaudrysa@fakemail.com,FR7630002000002302360462622,CRLYFRPP,Crédit Lyonnais (LCL),44 avenue Alexandre Petit,97142,De Sousa,FR
entreprise,2022-12-11,JMO Rousseau Delaunay et Fils SAS,22257365100353,SAS,4399D,06.90.97.77.23,Brunet,12890,6 rue de Reynaud,jmorousseaudelaunayetfilssas@fakemail.com,FR7610107000003003649987491,CCBPFRPP,Banque Populaire,62 rue Aubry,29610,Garnier-sur-Becker,FR
entreprise,2022-12-11,JMO Seguin SARL,02192045900449,SARL,4212Z,06.14.43.91.76,Lefort-sur-Meyer,09658,12 avenue Rene Marion,jmoseguinsarl@fakemail.com,FR7630006000001452589801688,AGRIFRPP,Crédit Agricole,2 rue Bertrand Blondel,04483,Saint Marc,FR
entreprise,2022-12-11,JMO Henry SA,46080865200891,SA,4291Z,06.55.74.98.99,Simondan,69305,5 avenue Pereira,jmohenrysa@fakemail.com,FR7630006000004591516280027,AGRIFRPP,Crédit Agricole,45 rue de Etienne,11254,Da Costa-sur-Mer,FR
entreprise,2022-12-11,JMO Perrier SA,98501925600314,SA,4399C,06.04.81.12.92,Sainte David,70677,34 chemin Sophie Bouchet,jmoperriersa@fakemail.com,FR7611808000003604386122041,CMBRFR2B,Crédit Mutuel,48 chemin de Pascal,51895,Grondin-sur-Bruneau,FR
entreprise,2022-12-11,JMO Barbier SAS,45360994300239,SAS,4213B,06.64.37.57.29,Gosselin,50339,6 rue Gilbert,jmobarbiersas@fakemail.com,FR7630001000005023354373851,AGRIFRPP,Banque de France,75 chemin Agathe Charles,04650,Sainte Jacquesnec,FR
entreprise,2022-12-11,JMO Julien SARL,51032371000390,SARL,4399C,06.25.62.85.14,Guillot-sur-Diaz,97128,9 chemin Anastasie Mahe,jmojuliensarl@fakemail.com,FR7630006000003491626766089,AGRIFRPP,Crédit Agricole,312 rue Leconte,14597,Dumont-sur-Vasseur,FR
entreprise,2022-12-11,JMO Salmon SA,49478502500722,SA,4213B,06.87.12.44.77,Dupuis-les-Bains,80529,8 rue Alexandre Costa,jmosalmonsa@fakemail.com,FR7610107000006674916155807,CCBPFRPP,Banque Populaire,1 chemin de Gillet,05428,Sainte Charlotte-sur-Mer,FR
entreprise,2022-12-11,JMO Lecoq Da Silva SAS,34392039300984,SAS,4212Z,06.28.64.63.76,Simonnec,97345,8 boulevard de Lemonnier,jmolecoqdasilvasas@fakemail.com,FR7612548000001651043848674,AXABFRPP,AXA Banque,31 chemin Renee Maillet,20164,Levydan,FR
entreprise,2022-12-11,JMO Letellier SAS,90138291100989,SAS,4222Z,06.78.59.72.12,Le Rouxdan,17540,588 rue Garcia,jmoletelliersas@fakemail.com,FR7630002000001557225614981,CRLYFRPP,Crédit Lyonnais (LCL),69 rue de Mace,33511,Saint Honorenec,FR
entreprise,2022-12-11,AGA Aubry Simon SA,40284703200446,SA,4213B,06.82.08.15.44,Bonnin,54841,946 rue Thibault Fournier,agaaubrysimonsa@fakemail.com,FR7610011000004268871918707,PSSTFRPP,La Banque Postale,93 rue Gabriel Aubert,77738,Jean,FR
entreprise,2022-12-11,AGA Chauveau Gay et Fils SAS,67669028200832,SAS,4399D,06.65.40.54.21,BegueBourg,59564,85 chemin de Raynaud,agachauveaugayetfilssas@fakemail.com,FR7610107000009212518389982,CCBPFRPP,Banque Populaire,722 boulevard de Leduc,70382,Saint Frederic-les-Bains,FR
entreprise,2022-12-11,AGA Robert SA,86020739800386,SA,4299Z,06.22.68.07.16,Fontaineboeuf,92213,78 chemin de Grenier,agarobertsa@fakemail.com,FR7610107000009740564689142,CCBPFRPP,Banque Populaire,48 chemin Christelle Gillet,40126,Lesage,FR
entreprise,2022-12-11,AGA Bouvet Jacquet SAS,29191709400372,SAS,4399D,06.31.19.23.74,Boulay,51336,5 rue de Roche,agabouvetjacquetsas@fakemail.com,FR7610107000006315036710529,CCBPFRPP,Banque Populaire,797 rue de Peron,61630,Saint Anoukboeuf,FR
entreprise,2022-12-11,AGA Leconte SA,79145187500730,SA,4213A,06.48.35.36.54,Sainte Roger,58675,36 boulevard Mathieu,agalecontesa@fakemail.com,FR7610107000007553477280752,CCBPFRPP,Banque Populaire,1 rue Laurence Fabre,93264,Vasseur,FR
entreprise,2022-12-11,AGA Diaz et Fils SAS,89437579900174,SAS,4212Z,06.35.58.46.03,Leger,91624,79 boulevard Gallet,agadiazetfilssas@fakemail.com,FR7630056000002303935884771,CCFRFRCR,HSBC,405 boulevard Capucine Langlois,12901,Legrand-sur-Fournier,FR
entreprise,2022-12-11,AGA Lemoine Joseph SA,26579079000264,SA,4291Z,06.79.23.93.33,Nicolas,38687,8 avenue de Goncalves,agalemoinejosephsa@fakemail.com,FR7611808000008598770724085,CMBRFR2B,Crédit Mutuel,180 boulevard Laurent Potier,15199,Garcia,FR
entreprise,2022-12-11,AGA Olivier SA,44757643000576,SA,4120A,06.86.92.89.26,Lucas,65504,17 avenue Victor Rolland,agaoliviersa@fakemail.com,FR7630001000007914435472705,AGRIFRPP,Banque de France,392 rue de Boucher,24819,Germain-sur-Mer,FR
entreprise,2022-12-11,AGA Rossi SARL,00082226200275,SARL,4211Z,06.03.49.11.33,Pichon,73991,45 rue de Marechal,agarossisarl@fakemail.com,FR7610011000005437017381614,PSSTFRPP,La Banque Postale,66 rue Bousquet,20965,Navarroboeuf,FR
entreprise,2022-12-11,AGA Marchal SARL,73682202400476,SARL,4213A,06.12.48.27.79,Etienne-sur-Mer,45358,65 avenue Claire Charrier,agamarchalsarl@fakemail.com,FR7611808000007425012590724,CMBRFR2B,Crédit Mutuel,57 rue de Pottier,86463,Saint Camille,FR
entreprise,2022-12-11,AGA Petitjean Lecoq SAS,87865584400883,SAS,4211Z,06.92.23.61.27,Dupre,32309,5 rue Diane Pierre,agapetitjeanlecoqsas@fakemail.com,FR7610107000009531052961981,CCBPFRPP,Banque Populaire,56 rue de Mary,44459,Baudry-sur-Collin,FR
entreprise,2022-12-11,AGA Peron SA,29826535600428,SA,4399D,06.49.41.88.27,Maillotboeuf,66938,45 avenue Robin,agaperonsa@fakemail.com,FR7630056000001241530294912,CCFRFRCR,HSBC,98 chemin Stephanie Gerard,16125,Regnier,FR
entreprise,2022-12-11,AGA Weber SA,29594411000580,SA,4221Z,06.78.76.23.73,Sainte Gabriel,35589,23 rue Alice Besnard,agawebersa@fakemail.com,FR7611808000003617379362736,CMBRFR2B,Crédit Mutuel,30 rue de Vaillant,17840,Olivier,FR
entreprise,2022-12-11,AGA Louis SARL,71456936500741,SARL,4213A,06.04.75.70.19,MartinBourg,17862,922 rue Lucy Dumas,agalouissarl@fakemail.com,FR7630004000007481321790453,BNPAFRPP,BNP Paribas,47 boulevard de Francois,56531,Baudry-sur-Denis,FR
entreprise,2022-12-11,AGA Marion SARL,23626424800253,SARL,4211Z,06.39.53.81.36,David-sur-Guillet,32336,25 rue de Guillet,agamarionsarl@fakemail.com,FR7630004000005852721026932,BNPAFRPP,BNP Paribas,93 boulevard Franck Muller,91680,Guillou-sur-Lopes,FR
entreprise,2022-12-11,AGA Jacquot SARL,97722327000363,SARL,4213B,06.14.17.19.36,Vallee,77717,88 boulevard Garcia,agajacquotsarl@fakemail.com,FR7611315000008469657129573,CEPAFRPP,Caisse d'Epargne,197 boulevard Marine Morel,60733,Vidal-sur-Hubert,FR
entreprise,2022-12-11,AGA Leroy SAS,32271116900639,SAS,4299Z,06.18.11.35.83,RousseauVille,54385,1 avenue de Gomez,agaleroysas@fakemail.com,FR7610107000005188482939535,CCBPFRPP,Banque Populaire,43 boulevard Lorraine Maury,58824,Lenoirdan,FR
entreprise,2022-12-11,AGA Millet SARL,41230763900903,SARL,4120B,06.77.71.32.60,LucasVille,67614,587 chemin Edouard Voisin,agamilletsarl@fakemail.com,FR7630001000001180662837249,AGRIFRPP,Banque de France,711 avenue Michelle Legrand,27283,Gillet-sur-Gilles,FR
entreprise,2022-12-11,AGA Jean SAS,34181280800572,SAS,4299Z,06.13.09.98.94,Sainte Maggie,54435,8 boulevard Eric Francois,agajeansas@fakemail.com,FR7630001000006430064320845,AGRIFRPP,Banque de France,1 avenue Virginie Gilles,03481,Da Costa-sur-Mer,FR
entreprise,2022-12-11,AGA Lelievre SA,46157880900554,SA,4299Z,06.32.92.58.10,CamusVille,60979,371 avenue de Martel,agalelievresa@fakemail.com,FR7610011000004330636595181,PSSTFRPP,La Banque Postale,38 avenue Emmanuelle Lesage,62579,Richard-sur-Mer,FR
entreprise,2022-12-11,AGA Renaud SAS,54118755500183,SAS,4212Z,06.02.53.80.33,Legros,42987,38 avenue Masson,agarenaudsas@fakemail.com,FR7610011000001868257224492,PSSTFRPP,La Banque Postale,595 chemin Le Goff,43314,Jourdan,FR
entreprise,2022-12-11,AGA Coste Pasquier SARL,86443175400828,SARL,4222Z,06.45.65.27.13,Louis-sur-Gosselin,97160,66 chemin Hortense Bertin,agacostepasquiersarl@fakemail.com,FR7630004000001248944243601,BNPAFRPP,BNP Paribas,83 rue de Faure,60617,Bourgeoisboeuf,FR
